city,state_name
Birmingham,Alabama
Mobile,Alabama
Huntsville,Alabama
Anchorage,Alaska
Fairbanks,Alaska
Juneau,Alaska
Phoenix,Arizona
Tucson,Arizona
Mesa,Arizona
Little Rock,Arkansas
Fayetteville,Arkansas
Fort Smith,Arkansas
Los Angeles,California
San Francisco,California
San Diego,California
Denver,Colorado
Colorado Springs,Colorado
Aurora,Colorado
Bridgeport,Connecticut
Hartford,Connecticut
New Haven,Connecticut
Dover,Delaware
Wilmington,Delaware
Middletown,Delaware
Washington,District of Columbia
Miami,Florida
Tampa,Florida
Orlando,Florida
Atlanta,Georgia
Augusta,Georgia
Savannah,Georgia
Honolulu,Hawaii
Waipiʻo Acres,Hawaii
ʻEwa Gentry,Hawaii
Boise,Idaho
Nampa,Idaho
Coeur d'Alene,Idaho
Chicago,Illinois
Rockford,Illinois
Round Lake Beach,Illinois
Indianapolis,Indiana
Fort Wayne,Indiana
South Bend,Indiana
Des Moines,Iowa
Davenport,Iowa
Cedar Rapids,Iowa
Wichita,Kansas
Overland Park,Kansas
Kansas City,Kansas
Louisville,Kentucky
Lexington,Kentucky
Bowling Green,Kentucky
New Orleans,Louisiana
Baton Rouge,Louisiana
Shreveport,Louisiana
Portland,Maine
Bangor,Maine
Lewiston,Maine
Baltimore,Maryland
Hagerstown,Maryland
Frederick,Maryland
Boston,Massachusetts
Springfield,Massachusetts
Worcester,Massachusetts
Detroit,Michigan
Grand Rapids,Michigan
Flint,Michigan
Minneapolis,Minnesota
Saint Paul,Minnesota
Duluth,Minnesota
Jackson,Mississippi
Gulfport,Mississippi
Hattiesburg,Mississippi
Saint Louis,Missouri
Kansas City,Missouri
Springfield,Missouri
Billings,Montana
Missoula,Montana
Great Falls,Montana
Omaha,Nebraska
Lincoln,Nebraska
Grand Island,Nebraska
Las Vegas,Nevada
Reno,Nevada
Henderson,Nevada
Nashua,New Hampshire
Manchester,New Hampshire
Portsmouth,New Hampshire
Trenton,New Jersey
Newark,New Jersey
Jersey City,New Jersey
Albuquerque,New Mexico
Las Cruces,New Mexico
Santa Fe,New Mexico
New York,New York
Brooklyn,New York
Queens,New York
Charlotte,North Carolina
Raleigh,North Carolina
Winston-Salem,North Carolina
Fargo,North Dakota
Bismarck,North Dakota
Grand Forks,North Dakota
Cleveland,Ohio
Cincinnati,Ohio
Columbus,Ohio
Oklahoma City,Oklahoma
Tulsa,Oklahoma
Norman,Oklahoma
Portland,Oregon
Eugene,Oregon
Salem,Oregon
Philadelphia,Pennsylvania
Pittsburgh,Pennsylvania
Allentown,Pennsylvania
Central Aguirre,Puerto Rico
Morovis,Puerto Rico
La Fermina Comunidad,Puerto Rico
Providence,Rhode Island
Cranston,Rhode Island
Warwick,Rhode Island
Charleston,South Carolina
Columbia,South Carolina
Greenville,South Carolina
Sioux Falls,South Dakota
Rapid City,South Dakota
Aberdeen,South Dakota
Nashville,Tennessee
Memphis,Tennessee
Knoxville,Tennessee
Dallas,Texas
Houston,Texas
San Antonio,Texas
Salt Lake City,Utah
Ogden,Utah
Provo,Utah
Burlington,Vermont
Barre,Vermont
South Burlington,Vermont
Charlotte Amalie,Virgin Islands
Frederiksted,Virgin Islands
Cruz Bay,Virgin Islands
Virginia Beach,Virginia
Richmond,Virginia
Norfolk,Virginia
Seattle,Washington
Spokane,Washington
Kennewick,Washington
Huntington,West Virginia
Charleston,West Virginia
Wheeling,West Virginia
Milwaukee,Wisconsin
Madison,Wisconsin
Appleton,Wisconsin
Cheyenne,Wyoming
Casper,Wyoming
Gillette,Wyoming
