categories,lat,lng,name,price_level,rating,user_ratings_total,Postcode
"locality,political",43.653226,-79.3831843,Toronto,-1,-1.0,-1,M1B
"zoo,point_of_interest,establishment",43.817699,-79.18589039999999,Toronto Zoo,-1,4.4,10386,M1B
"bar,restaurant,point_of_interest,food,establishment",43.7963818,-79.2041459,Boston Pizza,2,3.6,435,M1B
"hardware_store,furniture_store,home_goods_store,store,point_of_interest,establishment",43.803291,-79.1996645,Lee Valley,-1,4.7,127,M1B
"movie_theater,point_of_interest,establishment",43.7971882,-79.2035122,Cineplex Odeon Morningside Cinemas,-1,4.0,749,M1B
"car_repair,store,point_of_interest,establishment",43.8077352,-79.19955139999999,Auto-Camping Ltd,-1,4.6,14,M1B
"home_goods_store,store,point_of_interest,establishment",43.7988732,-79.1975422,Fabricland - Home Decor Centre,-1,3.8,131,M1B
"meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",43.8076334,-79.1755874,Pizza Pizza,1,3.9,274,M1B
"point_of_interest,establishment",43.8047102,-79.1992016,Imminent Concepts,-1,-1.0,-1,M1B
"store,point_of_interest,establishment",43.8081627,-79.2013171,George Power Tools Service,-1,4.2,10,M1B
"cafe,restaurant,point_of_interest,food,establishment",43.79820489999999,-79.2014492,McDonald's,1,3.6,132,M1B
"restaurant,point_of_interest,food,establishment",43.8012045,-79.2003,Mr Jerk,-1,3.8,148,M1B
"restaurant,point_of_interest,food,establishment",43.7900657,-79.1958487,Reginos Pizza,1,3.2,89,M1B
"hardware_store,furniture_store,home_goods_store,store,point_of_interest,establishment",43.8017875,-79.1967662,The Home Depot,1,3.9,499,M1B
"restaurant,point_of_interest,food,establishment",43.80084420000001,-79.19887240000001,Bihari Kabab House,-1,4.1,292,M1B
"restaurant,point_of_interest,food,establishment",43.8014145,-79.1976469,Bella's Lechon scarborough,-1,3.7,114,M1B
"point_of_interest,school,establishment",43.8048719,-79.20688980000001,Emily Carr Public School,-1,3.8,22,M1B
"clothing_store,store,point_of_interest,establishment",43.80855500000001,-79.199817,Fit Custom Dress Shirts,-1,-1.0,-1,M1B
"health,point_of_interest,establishment",43.7993187,-79.1979394,Milner Health Centre,-1,3.3,19,M1B
"sublocality_level_1,locality,sublocality,political",43.77642579999999,-79.2317521,Scarborough,-1,-1.0,-1,M1B
"point_of_interest,school,establishment",43.81002819999999,-79.2143028,St. Mother Teresa Catholic Academy,-1,2.5,25,M1B
"cafe,point_of_interest,food,establishment",43.8018188,-79.1992373,Tim Hortons,1,3.5,164,M1B
"storage,point_of_interest,establishment",43.8016253,-79.18886340000002,Dayton Self Storage,-1,4.5,22,M1B
"point_of_interest,establishment",43.79112970000001,-79.19922360000001,Tam Heather Curling and Tennis Club,-1,4.4,55,M1B
"car_dealer,car_repair,store,point_of_interest,establishment",43.8007743,-79.1896706,Scarsview Chrysler Dodge Jeep Ram Fiat,-1,4.3,297,M1B
"general_contractor,point_of_interest,establishment",43.8090758,-79.1971552,R & K Woodworking Specialists Inc.,-1,4.7,3,M1B
"point_of_interest,food,establishment",43.8058591,-79.19410599999999,Rex Pak Food Packaging Ltd,-1,3.6,16,M1B
"beauty_salon,point_of_interest,establishment",43.801194,-79.198504,Blue Ocean Nails & Spa,-1,3.1,67,M1B
"store,point_of_interest,establishment",43.8080638,-79.20186260000001,FASTSIGNS,2,4.8,43,M1B
"car_dealer,car_repair,store,point_of_interest,establishment",43.80013150000001,-79.19252,Morningside Nissan,-1,3.7,152,M1B
"point_of_interest,establishment",43.8081273,-79.20148209999999,Panorama TV,-1,5.0,4,M1B
"general_contractor,point_of_interest,establishment",43.8045036,-79.19972030000001,Steelcore Construction Ltd,-1,5.0,2,M1B
"beauty_salon,hair_care,health,point_of_interest,establishment",43.7995433,-79.1982728,First Choice Haircutters,-1,3.5,73,M1B
"point_of_interest,establishment",43.8099782,-79.17152589999999,Parker Pet Care,-1,4.6,109,M1B
"point_of_interest,food,establishment",43.7992054,-79.1942504,Rabco Foodservice Limited,-1,3.7,3,M1B
"meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",43.7998696,-79.198278,MR. GREEK,2,3.9,398,M1B
"point_of_interest,establishment",43.8097416,-79.1974127,Rouge Valley Studio,-1,5.0,1,M1B
"store,point_of_interest,establishment",43.8096876,-79.1983484,Tower Litho Company Ltd.,-1,5.0,1,M1B
"restaurant,point_of_interest,food,establishment",43.8012702,-79.20048229999999,Charley's Caribbean Cuisine,1,4.0,50,M1B
